Episode,Loss,Average Reward,Winner,Epsilon,Cumulative Reward End Game
1,0.06671999188893096,540.4571428571429,1,1.0,18916
2,0.00839314971017302,265.86725663716817,1,0.6596532430440636,30043
3,0.005768045961076496,289.06666666666666,1,0.6149486215357263,4336
4,0.00847560887450527,467.43333333333334,2,0.5290920728090721,14023
5,0.0064838692439934675,194.26101694915255,1,0.12120401149972035,57307
6,0.007177827807026915,291.1764705882353,2,0.11130363979080501,4950
7,0.007023802631010767,376.8666666666667,1,0.09624511776741324,11306
8,0.007636798902240116,419.6896551724138,2,0.0832238973628649,12171
9,0.006637344778027909,253.92857142857142,1,0.07268942442628039,7110
10,0.00644644050066745,567.468085106383,2,0.05743227569078546,26671
11,0.0036649688350962606,468.1666666666667,2,0.05092252885731386,11236
12,0.005314648836360902,392.95454545454544,1,0.036762937968474095,25935
13,0.007308244566047506,471.21465968586386,1,0.014183896485845416,90002
14,0.007285969458052932,184.8956043956044,2,0.005696344531830484,33651
15,0.005686026667262922,377.34749034749035,2,0.0015551567223192257,97733
16,0.005308512280521427,164.2,1,0.0013447560400335022,4926
17,0.003240571076617016,554.2830188679245,2,0.0010310192716780449,29377
18,0.0050647295458929875,143.1864406779661,1,0.0009954703940636294,8448
19,0.004623560031973284,36.93835616438356,1,0.0009954703940636294,5393
20,0.004322652487644518,73.27586206896552,1,0.0009954703940636294,4250
21,0.005323750022682816,547.0585365853658,1,0.0009954703940636294,224294
22,0.00461380236987452,136.08270676691728,2,0.0009954703940636294,18099
23,0.006609583353849757,563.5333333333333,2,0.0009954703940636294,16906
24,0.005130401135716056,70.66292134831461,1,0.0009954703940636294,6289
25,0.005182355367253422,382.9157894736842,2,0.0009954703940636294,36377
26,0.0035745364719446115,259.0,2,0.0009954703940636294,33670
27,0.0034495352602448293,164.9236641221374,1,0.0009954703940636294,21605
28,0.0045868394327612805,110.37142857142857,2,0.0009954703940636294,7726
29,0.006260066000606912,434.72535211267603,2,0.0009954703940636294,61731
30,0.007398834070841076,370.39130434782606,2,0.0009954703940636294,8519
31,0.0057223505837100674,157.3913043478261,2,0.0009954703940636294,3620
