Episode,Loss,Average Reward,Winner,Epsilon,Cumulative Reward End Game
1,0.06880135099830416,87.81944444444444,1,0.946354579813443,6323
2,0.004532642621779814,597.125,2,0.7744209942832988,23885
3,0.004988896764795451,209.04166666666666,2,0.6866430931872001,5017
4,0.004802217313287353,571.9375,1,0.5878229785513479,18302
5,0.0039500809742700465,551.5769230769231,1,0.45522245551230495,28682
6,0.004914067609449072,324.25,2,0.3507711574848344,16861
7,0.0044498702176497314,452.6,2,0.30945741577570285,11315
8,0.004927359705349469,599.2,1,0.23607350863684065,32956
9,0.005021355185211481,97.47692307692307,2,0.17043057265153258,6336
10,0.004038695942775424,81.04918032786885,1,0.1261630989318213,4944
11,0.0035531448089993014,85.42857142857143,2,0.09868776295209031,4186
12,0.005742630856063139,253.92857142857142,2,0.09199970504166631,3555
13,0.004353652150469619,127.78787878787878,2,0.07797369223798889,4217
14,0.007637929828888446,508.22222222222223,2,0.0712465030521374,9148
15,0.0068441371786320815,160.95454545454547,1,0.06412808167716157,3541
16,0.006862365971270871,486.2307692307692,2,0.04063952250178857,44247
17,9.08341945846314,91.18032786885246,2,0.029933432588273214,5562
18,689.8744051732356,223.22727272727272,2,0.021502049198442223,14733
19,0.007195280504371719,438.17241379310343,2,0.018592988164936427,12707
20,1370.6513504667125,435.41379310344826,1,0.01615829206087557,12627
21,1370.113933826705,358.3125,2,0.014912990653247866,5733
22,3409.6278801323515,89.19148936170212,1,0.01184203826198843,4192
23,2720.279354858542,581.1437125748503,2,0.005127208097935121,97051
24,4093.646628358449,252.69135802469137,1,0.0034334237278812784,20468
25,4761.5974496282415,50.34426229508197,1,0.0018720617695792596,6142
26,3411.626501268207,317.51724137931035,2,0.0016187862842551224,9208
27,5439.9660304881145,228.64,1,0.001435302541686172,5716
28,2731.2466898974512,556.5512820512821,2,0.0009954703940636294,43411
29,4080.743618812972,225.94642857142858,2,0.0009954703940636294,12653
30,6807.580805149835,185.44897959183675,2,0.0009954703940636294,9087
