4,7,2,2,3,4,4,6,6,6,9,9,9,10,1,1,0,1,1,0,2,2,3,4,4,5,5,5,5,5,5,6,6,6,2,2,2,0,1,1,1,1,1,1,1,1,1,2,2,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,2
4,2,1,1,2,0,0,2,2,2,2,2,2,0,1,1,0,1,1,0,2,2,3,4,4,5,5,5,5,5,5,0,0,0,1,1,1,3,4,4,4,4,4,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,0
4,6,10,10,0,2,2,4,4,4,1,1,1,1,4,4,4,0,0,0,2,2,3,4,4,0,0,0,1,1,1,2,2,2,2,2,2,1,0,0,1,1,1,2,2,2,3,4,4,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0
4,6,1,1,1,3,3,0,1,1,3,3,3,3,6,6,6,7,7,7,9,9,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,2,2,2,0,1,1,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
4,1,5,5,6,1,1,3,4,4,0,0,0,0,0,0,0,1,1,1,3,3,4,1,1,1,2,2,2,2,2,0,0,0,2,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
4,0,4,4,5,7,7,1,2,2,4,4,4,4,2,2,2,0,0,0,2,2,1,3,3,3,4,4,4,4,4,1,1,1,1,1,1,2,3,3,3,4,4,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,4,4,5,6,6,8,8,8,2,2,2,0,0,0,1,2,2,3,5,5,6,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1
4,6,4,4,5,6,6,1,1,1,0,0,0,1,3,3,0,1,1,0,2,2,3,1,1,2,0,0,0,1,1,2,2,2,5,5,5,6,0,0,0,0,0,3,3,3,3,0,0,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0
4,1,6,6,7,0,0,1,1,1,0,0,0,1,0,0,0,1,1,2,0,0,1,3,3,0,1,1,1,1,1,2,2,2,5,5,5,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
4,6,1,1,2,1,1,2,0,0,2,0,0,1,3,3,3,0,0,1,1,1,2,4,4,4,0,0,0,0,0,1,0,0,1,0,0,1,2,2,2,2,2,0,1,1,1,2,2,3,3,3,3,3,3,3,0,0,0,1,1,1,0,0,0
4,6,10,10,11,13,13,14,15,15,17,18,18,18,20,20,20,21,21,21,1,1,2,1,1,1,2,2,2,2,2,0,1,1,3,0,0,1,2,2,2,2,2,5,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4,6,0,0,1,1,1,2,0,0,0,1,1,1,0,0,0,1,1,1,3,3,4,6,6,6,7,7,7,7,7,8,8,8,0,0,0,1,2,2,2,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24
0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
