4,6,11,11,12,17,17,3,0,0,1,2,2,4,5,5,5,5,5,5,0,0,1,2,2,1,0,0,0,1,1,0,2,2,2,3,3,4,5,5,5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3
4,6,2,2,3,2,2,1,0,0,1,2,2,4,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,0,0,0,1,1,1
4,1,5,5,6,11,11,15,15,15,16,17,17,1,1,1,1,0,0,0,0,0,1,0,0,2,3,3,0,0,0,1,3,3,3,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,0,0,0,1,1,1,0,0,0
4,0,4,4,5,2,2,3,3,3,4,0,0,2,2,2,2,2,2,2,2,2,3,0,0,0,1,1,2,2,2,3,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0
4,6,1,1,2,0,0,4,4,4,0,1,1,3,3,3,3,3,3,3,0,0,1,2,2,4,1,1,2,2,2,3,1,1,1,0,0,1,2,2,2,2,2,2,2,2,3,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
4,6,4,4,5,3,3,0,0,0,1,2,2,1,1,1,1,1,1,1,2,2,3,4,4,1,2,2,0,0,0,1,1,1,1,2,2,3,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1
4,2,2,2,3,1,1,5,5,5,1,0,0,2,3,3,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,2,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
4,7,3,3,4,0,0,0,0,0,1,2,2,2,3,3,4,4,4,0,1,1,2,3,3,5,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
4,1,1,1,1,0,0,3,3,3,4,0,0,3,0,0,1,1,1,2,3,3,4,5,5,1,2,2,2,2,2,2,4,4,4,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4,6,11,11,1,5,5,0,0,0,1,2,2,0,0,0,1,1,1,2,3,3,4,0,0,1,2,2,2,2,2,2,1,1,0,1,1,0,1,1,1,2,2,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
4,1,4,4,5,1,1,5,5,5,6,7,7,10,10,10,10,10,10,11,12,12,1,2,2,1,2,2,0,0,0,0,0,0,1,2,2,3,0,0,0,1,1,2,2,2,2,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4,6,0,0,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2,4,5,5,6,6,6,0,2,2,2,3,3,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,4,4,4,8,8,8,8,8,8,12,12,12,12,12,12,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
0,0,0,0,0,0,0,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
