4,6,8,8,10,10,10,10,1,1,2,2,2,5,0,0,1,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3
4,1,0,0,2,2,2,2,0,0,1,1,1,1,1,1,2,1,1,1,2,2,2,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
4,0,2,2,4,4,4,4,1,1,2,2,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,2,2,3,0,0,0,0,0,0,1,1,1
4,6,1,1,3,0,0,0,2,2,3,0,0,3,3,3,4,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,1,0,0,1
4,6,7,7,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,0,1,1,1,1,1,2,2,2,0,0,0,0,1,1,1,1,1,2
4,6,7,7,0,0,0,1,3,3,4,4,4,8,8,8,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,2,2,2,0,0,1,1,1,0
4,6,8,8,10,10,10,10,12,12,1,1,1,4,5,5,6,1,1,0,1,1,1,2,2,2,3,3,3,3,3,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
4,2,0,0,2,2,2,0,2,2,3,3,3,1,2,2,1,3,3,0,1,1,0,1,1,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0
4,7,0,0,2,2,2,3,0,0,1,1,1,0,1,1,3,0,0,0,1,1,0,0,0,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,2,1,1,1,0,2,2,3,3,3,1,2,2,1,3,3,3,3,3,4,4,4,4,4,4,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
4,6,7,7,8,8,8,9,11,11,12,12,12,3,0,0,1,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0
4,1,2,2,1,1,1,0,2,2,3,3,3,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,1,1,1,0,0,0,0,0,0,1,1,1,0
0,0,4,4,4,8,8,8,12,12,12,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24
0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
